CODIGO OEM	SLUG	APLICACIONES	EQUIVALENCIA 1	EQUIVALENCIA 2
97133-L1000	97133-L1000	FILTRO AIRE CABINA HYUNDAI ELANTRA 1.6L 2.0L 2020-UP - SANTA FE 2.2L 2.5L - SONATA 2.0L 2.5L - TUCSON 2.0L 2.5L / KIA SORENTO 2.2L 2.5L 3.5L 2019-UP - SPORTAGE 2.0L 2.5L 2021-UP 	MC-84421	CAF10079P
97133-2D100	97133-2D100	FILTRO AIRE CABINA HYUNDAI ELANTRA 1.8L 2.0L - TIBURON 2.7L - MATRIX 1.8L	MC-71098	
97617-1C002	97617-1C002	FILTRO AIRE CABINA HYUNDAI GETZ 1.3L 1.6L / DODGE BRISA 1.3L	MC-24120	24879
97406-4A900	97406-4A900	FILTRO AIRE CABINA HYUNDAI H-1 2006-2007		
97617-4H000	97617-4H000	FILTRO AIRE CABINA HYUNDAI H-1 2009-UP		WP2044
97133-2E210	97133-2E210	FILTRO AIRE CABINA HYUNDAI TUCSON 2.0L - RIO 1.6L / KIA SPORTAGE 2.0L 2.7L 	MC-2200	24684
95861-64J00	95861-64J00	FILTRO AIRE CABINA ISUZU GRAN VITARA 6V 2.7	MC-83198	
68033193AA	68033193AA	FILTRO AIRE CABINA JEEP CHEROKEE LIBERTY KK 08-11	MC-67740	49093
82208300	82208300	FILTRO AIRE CABINA JEEP GRAND CHEROKEE WK 2005-2010 - COMMANDER		24903
68079487AA	68079487AA	FILTRO AIRE CABINA JEEP GRAND CHEROKEE WK2  2011-2020	MC-79487	24017
97133-07000	97133-07000	FILTRO AIRE CABINA KIA PICANTO 	MC-94242	
BP5E-61-J6X	BP5E-61-J6X	FILTRO AIRE CABINA MAZDA 3 1.6 2.0L - MAZDA 5 2.3L	MC-60585	WA6221
1718 237	1718-237	FILTRO AIRE CABINA MAZDA BT50 / FORD RANGER	MC-85121	
MZ690194	MZ690194	FILTRO AIRE CABINA MITSUBISHI DAKAR - MONTERO SPORT - L200 		
MR398288	MR398288	FILTRO AIRE CABINA MITSUBISHI LANCER CS3 CS6 		
27277-4JA0A	27277-4JA0A	FILTRO AIRE CABINA NISSAN PATHFINDER R51 3.3L - NP300 - NAVARA 4WD 2.5L - TERRA 4WD 2.3L		
27891-EL00A	27891-EL00A	FILTRO AIRE CABINA NISSAN TIIDA C11	MC-90129	
272773277R	272773277R	FILTRO AIRE CABINA RENAULT CLIO - SYMBOL - MEGANE - LOGAN	MC-68011	
87139-50060	87139-50060	FILTRO AIRE CABINA TOYOTA 4RUNNER - CAMRY - YARIS BELTA - COROLLA - RAV4 - SEQUOIA - PRADO		WP9291
87139-28010	87139-28010	FILTRO AIRE CABINA TOYOTA 4RUNNER 03-08 - AVALON 3.0L - CAMRY 2.4L 3.0L - SIENNA 3.3L 	MC-98256	24883
87139-07020	87139-07020	FILTRO AIRE CABINA TOYOTA 4RUNNER 09-14 - AVALON 2018-UP - CAMRY 3.5L - COROLLA 2ZRFE 09-14  -LAND CRUISER 200 4.6L 4.7L 5.7L - RAV4 2.0L - TUNDRA 4.0L 4.6L 5.7L - YARIS 2NZFE 06-10 - PRADO - HILUX - FORTUNER	MC-30025	24488
88568-02030	88568-02030	FILTRO AIRE CABINA TOYOTA COROLLA 1.6L 3ZZFE 1.8L 1ZZFE	MC-28488	WP9136
87139-0K070	87139-0K070	FILTRO AIRE CABINA TOYOTA HILUX 2.7L 4.0L 2016-UP - HILUX DIESEL 1GD 2GD - CAMRY 2.0L M20A 2.5L A25 A25-AFXS - COROLLA 1.5L M15A 1.6L 1ZRFE 1.8L 2ZRFE 2.0L M20A-FKS - COROLLA ALTIS 1.5L 1.6L 2.0L - COROLLA CROSS 1.8L 2.0L M20A-FKS - HIGHLANDER - RAV4 - SIENNA - VENZA 2.5L A25A-FXS - YARIS 1.5L M15A - YARIS CROSS M15A	MC-71258	WP2158
88880-B4010	88880-B4010	FILTRO AIRE CABINA TOYOTA TERIOS BEGO		WP9320
87139-52010	87139-52010	FILTRO AIRE CABINA TOYOTA YARIS 00-14 -RAV4 2.0		WP9192
1J0129620	1J0129620	FILTRO AIRE MOTOR CHERY GRAND TIGER 4X4 / AUDI A3 TT / SEAT LEON - TOLEDO / VOLSKWAGEN BORA 1.8L 2.0L - GOLF 1.6L 1.8L 2.0L -  JETTA 1.8L 2.0L -  NEW BEETLE 2.0L 2.5L 	MK-5827	42472
96536696	96536696	FILTRO AIRE MOTOR CHEVROLET AVEO 1.6L TODOS	MK-9902	
96628890	96628890	FILTRO AIRE MOTOR CHEVROLET CAPTIVA	MK-55267	
93428149	93428149	FILTRO AIRE MOTOR CHEVROLET CORSA TODOS - CHEVY C2 	MK-5496	WA10038
13272717	13272717	FILTRO AIRE MOTOR CHEVROLET CRUZE 1.8 - ORLANDO	MK-25175	
13780-77E00	13780-77E00	FILTRO AIRE MOTOR CHEVROLET GRAN VITARA 1.6L G16B - 1.6L 2.0L J20A - 2.5L H25A - 2.7L H27A  	MK-8069	
96553450	96553450	FILTRO AIRE MOTOR CHEVROLET OPTRA TODOS	MK-8732	
96591485	96591485	FILTRO AIRE MOTOR CHEVROLET SPARK	MK-91485	
25313349	25313349	FILTRO AIRE MOTOR CHEVROLET TAHOE - TRAIBLAZER - SILVERADO 00-14 - AVALANCHE 02-08 - CHEYENNE 4.8L 5.3L 5.7L - REY CAMION - C3500 - GRAND BLAZER	MK-8755	42487
4213583	4213583	FILTRO AIRE MOTOR CHRYSLER NEON - TOWN - LEBARON / DODGE CARAVAN - GRAND CARAVAN / FORD TRACER / NISSAN TERRANO	MK-3660	42133
B 593 13Z40	B-593-13Z40	FILTRO AIRE MOTOR FESTIVA 1.3L FI / VENIRAUTO TURPIAL	MK-6867	46227
46420988	46420988	FILTRO AIRE MOTOR FIAT PALIO 1.3L 1.4L 1.6L 1.8L - SIENA 1.3L 1.4L 1.8L  - IDEA 1.8L - BRAVA 1.6L - STRADA 1.8L / DODGE FORZA 1.4L	MK-5627	42343
60595381	60595381	FILTRO AIRE MOTOR FIAT PALIO 1.3L 1.4L 1.6L 1.8L - SIENA 1.3L 1.4L 1.8L  - IDEA 1.8L - BRAVA 1.6L - STRADA 1.8L / DODGE FORZA 1.4L	MK-5784	
5JF129620	5JF129620	FILTRO AIRE MOTOR FORD ECOSPORT 2.0	MK-15728	
YL8Z9601AA	YL8Z9601AA	FILTRO AIRE MOTOR FORD ESCAPE 2.0L 3.0L 2001-2007	MK-8997	42793
7C3Z-9601-A	7C3Z-9601-A	FILTRO AIRE MOTOR FORD EXPEDITION 5.4L - FX4 - F250 6.2L - F350 5.4 HASTA 2007 - F350 SUPER DUTY 6.2 08-14	MK-95334	49883
F77Z9601AA	F77Z9601AA	FILTRO AIRE MOTOR FORD EXPLORER 4.0L 97-05 - SPORTRAC 4.0L - RANGER 2.3L 2.5L 4.0L / MAZDA B2300 01-05 - B2500 B4000	MK-8243	46253
6L2Z9601AA	6L2Z9601AA	FILTRO AIRE MOTOR FORD EXPLORER 4.6L 06-10 24V - SPORTRAC	MK-1780	49145
F50X9601A	F50X9601A	FILTRO AIRE MOTOR FORD F-150 4.2L 4.6L 5.4L 97-01 - MUSTANG 4.6L 99-05 - ECONOLINE - EXPEDITION - F350 HASTA 2004	MK-8004	46418
1004 509	1004-509	FILTRO AIRE MOTOR FORD FIESTA 1.3/1.6 97-04 / MAZDA 626 2.2L	MK-5682	45001
2N1U-9601-BD	2N1U-9601-BD	FILTRO AIRE MOTOR FORD FIESTA MAX POWER MOVE - ECOSPORT 1.6	MK-2222	
CN11-9601-AD	CN11-9601-AD	FILTRO AIRE MOTOR FORD FIESTA TITANIUM 1.6L 14-19	MK-26934	WA9606
1058022	1058022	FILTRO AIRE MOTOR FORD FOCUS 2.0L	MK-5929	
6E5Z-9601-GA	6E5Z-9601-GA	FILTRO AIRE MOTOR FORD FUSION 3.0L 	MK-19158	49053
17220-P0A-000	17220-P0A-000	FILTRO AIRE MOTOR HONDA ACCORD 94-98 2.2L - ODYSSEY 2.2L	MK-7420	46303
17220-P2J-000	17220-P2J-000	FILTRO AIRE MOTOR HONDA CIVIC 1.6L F.I 6TA GEN - CR-V 2.0L	MK-7764	46388
17220-PM7-305	17220-PM7-305	FILTRO AIRE MOTOR HONDA CIVIC 5TA GEN 1.6 FI 92-96	MK-6333	46158
17220-P07-506	17220-P07-506	FILTRO AIRE MOTOR HONDA CIVIC 6TA GEN 1.5 FI 96-00	MK-7174	46026
17220-PLC-000	17220-PLC-000	FILTRO AIRE MOTOR HONDA CIVIC 7MA GEN 1.7L 01-05	MK-8911	42564
17220-RND-M00	17220-RND-M00	FILTRO AIRE MOTOR HONDA CIVIC EMOTION 1.8 06-11	MK-80146	49065
17220-PWA-003	17220-PWA-003	FILTRO AIRE MOTOR HONDA FIT 1.3L 1.4L 01-09	MK-72373	WA9423
17220-RN0-A00	17220-RN0-A00	FILTRO AIRE MOTOR HONDA PILOT 3.5 09-15 / ODYSSEY 05-15		42844
28113-22301	28113-22301	FILTRO AIRE MOTOR HYUNDAI ACCENT 1.3L / DODGE BRISA 1.3L 02-06	MK-22301	
28113-22051	28113-22051	FILTRO AIRE MOTOR HYUNDAI ACCENT 1.5L 96-08 	MK-7775	WA6285
28113-1G000	28113-1G000	FILTRO AIRE MOTOR HYUNDAI ACCENT 1.6L / KIA RIO 1.6L 	MK-26123	
28113-2D000	28113-2D000	FILTRO AIRE MOTOR HYUNDAI ELANTRA 2.0L - TIBURON 2.7L - CERATO 2.0L 16V	MK-9392	42551
28113-1C000	28113-1C000	FILTRO AIRE MOTOR HYUNDAI GETZ 1.3L 1.6L 2006-2012 / DODGE BRISA 1.3L 06-09	MK-24086	CA9632
28113-4H000	28113-4H000	FILTRO AIRE MOTOR HYUNDAI H-1 09	MK-25252	
28113-26000	28113-26000	FILTRO AIRE MOTOR HYUNDAI SANTA FE 2.7L 01-06 	MK-9441	42740
28113-2B000	28113-2B000	FILTRO AIRE MOTOR HYUNDAI SANTA FE 2.7L 06-09	MK-15643	49191
28113-2W100	28113-2W100	FILTRO AIRE MOTOR HYUNDAI SANTA FE 3.3L 2012-2018 / KIA SORENTO 3.5L 12-14	MK-42137	WA9883
28113-08000	28113-08000	FILTRO AIRE MOTOR HYUNDAI TUCSON 2.0L / KIA SPORTAGE 2.0L 2.7L 	MK-8000	42834
05189933AA	05189933AA	FILTRO AIRE MOTOR JEEP CHEROKEE LIBERTY KK 08-14	MK-16246	
53004383	53004383	FILTRO AIRE MOTOR JEEP CHEROKEE XJ - COMANCHE - WAGONEER - DURANGO 01-03 /DAKOTA 06-08/11-12/ DODGE RAM	MK-3901	46077
04891694AA	04891694AA	FILTRO AIRE MOTOR JEEP COMPASS 2.4 - PATRIOT - CALIBER 2.0	MK-10118	
53007386	53007386	FILTRO AIRE MOTOR JEEP GRAND CHEROKEE WJ ZJ MOTOR 4.0L 1993 A 2005 - GRAND CHEROKEE 4.0L 4.7L 5.2L 1999 A 2005 / NISSAN PATHFINDER 4.0L 04-12 - ARMADA - TITAN	MK-7440	46213
5018777AA	5018777AA	FILTRO AIRE MOTOR JEEP GRAND CHEROKEE WK 4.7 KJ 3.7 00-10 - RENEGADE - LIBERTY 02-06	MK-18777	
0K2A5-13-Z40A	0K2A5-13-Z40A	FILTRO AIRE MOTOR KIA CARENS 1.6L 1.8L 2.0L - CERATO 1.6L - SEPHIA 1.5L 1.8L - SHUMA - SPECTRA	MK-8548	WA6369
0K01113Z40	0K01113Z40	FILTRO AIRE MOTOR KIA CARNIVAL 2.5L - SPORTAGE 2.0L 99-03	MK-8121	42015
28113-2F800	28113-2F800	FILTRO AIRE MOTOR KIA CERATO		
28113-2G000	28113-2G000	FILTRO AIRE MOTOR KIA OPTIMA 2.4L 2.6L 01-08	MK-76429	49175
28113-07100	28113-07100	FILTRO AIRE MOTOR KIA PICANTO 	MK-87100	
0K74R-23-603	0K74R-23-603	FILTRO AIRE MOTOR KIA PREGIO 2.7L 3.0L 	MK-7203	
